Countries,Revenue_generated($),Percentage of Loan Applications_Approved,Loan Types,Percentage_of _LoanPortfolio, Percentage_of_Delinquent_Loans,Loan_origination_Cost_in_USD,Credit_Score_Ranges,Loan_Delinquency_Rate(%),Revenue Distribution_by_Region:,Revenue_generated,Region_revenue_generated,Loan_Application_Stage,Number_of_Loans_or_Conversion_Rate,Cost_Efficiency_Ratio,Time Period_Months($)
United Arab Emirates,9568597,72,Jumbo mortgage,17,1.5,322,365,9,Europe,26656652,Americas,Underwriting,552,87.55,11378827
Norway,9691179,82,Adjustable-rate mortgage,5,"",554,633,3,Americas,29457174,Asia-Pacific,Underwriting,647,79.02,10251738
United Arab Emirates,9837607,72,Home Equity Line of Credit Construction loan,9,"",608,679,1,Europe,10534782,Asia-Pacific,Funding,884,84.81,10124412
United Arab Emirates,9432318,90,Home Equity Line of Credit Construction loan,12,0.5,554,729,9,Americas,16615417,Asia-Pacific,Lead,585,88.62,10580512
Darussalam,9201288,72,Home Equity Line of Credit Construction loan,37,1,581,764,8,Middle East and Africa,28201993,Europe,Underwriting,798,69.68,10677239
Netherlands,9050298,82,Home Equity Line of Credit Construction loan,40,3,410,731,5,Middle East and Africa,26395339,Americas,Underwriting,529,70.08,11658510
Qatar,9758638,71,Fixed-rate mortgage,32,1.5,377,589,9,Americas,30080704,Americas,Lead,252,60.55,10580212
"",9758152,74,Jumbo mortgage,33,3.5,483,371,4,Asia-Pacific,12600581,Europe,Application,990,84.53,9817507
Brunei,9172835,81,Home Equity Line of Credit Construction loan,26,1.5,528,675,5,Asia-Pacific,11270315,Asia-Pacific,Application,792,64.69,9816758
Netherlands,9286579,82,Jumbo mortgage,12,3.5,503,775,7,Middle East and Africa,12476075,Europe,Lead,881,67.67,11783829
Ireland,9131279,81,Home Equity Line of Credit Construction loan,21,2,413,769,4,Europe,21023509,Middle East and Africa,Application,509,82.74,11221979
Singapore,9244845,76,Adjustable-rate mortgage,37,2.5,518,821,10,Europe,26274515,Europe,Lead,169,78.47,9899109
San Marino,9855324,88,Adjustable-rate mortgage,13,1.5,537,308,3,Americas,20634574,Europe,Lead,183,87.19,11968768
Macao SAR,9507598,90,Fixed-rate mortgage,15,"",581,634,3,Americas,10662801,Asia-Pacific,Lead,244,83.16,11377447
Norway,9306768,90,Home Equity Line of Credit Construction loan,7,0.5,389,432,1,Europe,22123794,Asia-Pacific,Underwriting,882,89.31,10847142
Germany,9520559,86,Home Equity Line of Credit Construction loan,30,"",259,406,1,Americas,24358589,Europe,Lead,369,63.22,10457849
Netherlands,9127480,82,Adjustable-rate mortgage,24,2,481,413,1,Asia-Pacific,27627112,Americas,Underwriting,113,83.3,10723432
Qatar,9145873,75,Jumbo mortgage,24,2.5,444,442,5,Europe,22927108,Europe,Funding,116,84.18,10802469
Brunei,9779878,80,Fixed-rate mortgage,27,1,339,750,9,Europe,26463602,Middle East and Africa,Lead,247,81.44,9677145
Switzerland,9829291,84,Home Equity Line of Credit Construction loan,31,0.5,585,553,6,Asia-Pacific,11965358,Asia-Pacific,Application,189,67.09,10377785
Sweden,9347701,89,Home Equity Line of Credit Construction loan,13,2.5,418,426,8,Asia-Pacific,18913109,Middle East and Africa,Underwriting,935,77.58,11864222
Iceland,9841049,84,Adjustable-rate mortgage,36,3.5,278,479,7,Middle East and Africa,16896728,Middle East and Africa,Funding,849,61.36,11788833
Norway,9411183,81,Adjustable-rate mortgage,16,"",364,592,10,Americas,20975870,Asia-Pacific,Funding,253,63.67,9521412
Ireland,9703698,89,Fixed-rate mortgage,6,3,337,805,1,Europe,10052247,Europe,Underwriting,239,60.41,10247714
SAR United States,9714585,76,Home Equity Line of Credit Construction loan,13,3,521,317,10,Middle East and Africa,11221686,Europe,Underwriting,696,63.45,9507114
Norway,9378726,88,Home Equity Line of Credit Construction loan,32,1,307,363,9,Middle East and Africa,24096903,Europe,Underwriting,889,88.93,10343397
Austria,9230974,86,Fixed-rate mortgage,39,"",634,627,6,Middle East and Africa,16642730,Americas,Application,333,71.16,10545598
Macao SAR,9059520,86,Adjustable-rate mortgage,11,4,592,799,8,Americas,16917334,Middle East and Africa,Underwriting,951,69.53,10302967
Sweden,9346866,86,Adjustable-rate mortgage,14,4,301,579,7,Europe,17664528,Europe,Lead,697,72.86,10331604
Macao SAR,9386809,79,Adjustable-rate mortgage,31,"",313,530,7,Middle East and Africa,19456874,Americas,Lead,859,62.58,10555973
Singapore,9062169,70,Home Equity Line of Credit Construction loan,23,3.5,631,427,9,Europe,15178780,Americas,Lead,199,85.24,9827168
Singapore,9499962,81,Jumbo mortgage,40,1,438,766,5,Middle East and Africa,11057819,Europe,Funding,181,61.16,10671853
Austria,9385576,78,Home Equity Line of Credit Construction loan,34,2.5,465,835,7,Asia-Pacific,15101216,Europe,Underwriting,692,64.11,9935886
Darussalam,9637114,84,Jumbo mortgage,40,0.5,608,499,6,Americas,25847974,Europe,Lead,973,61.58,11700121
Austria,9267229,77,Adjustable-rate mortgage,6,4,467,429,5,Middle East and Africa,18944751,Europe,Funding,603,73.94,9942980
Darussalam,9620690,90,Home Equity Line of Credit Construction loan,30,1,406,678,3,Europe,17302676,Europe,Lead,154,69.64,9870957
Kuwait,9794130,88,Home Equity Line of Credit Construction loan,35,3.5,648,728,10,Asia-Pacific,28113492,Asia-Pacific,Application,946,83.16,10059379
Qatar,9692214,82,Adjustable-rate mortgage,38,"",262,712,5,Asia-Pacific,17376853,Asia-Pacific,Lead,307,72.31,10100431
Germany,9952745,73,Jumbo mortgage,15,3.5,623,467,10,Europe,25480310,Americas,Lead,788,76.37,9606489
Brunei,9713096,87,Adjustable-rate mortgage,29,1.5,449,405,9,Europe,21695628,Americas,Lead,589,62.22,11354763
Darussalam,9780733,84,Adjustable-rate mortgage,35,4,364,804,9,Middle East and Africa,16861631,Europe,Funding,822,83.43,11787847
Brunei,9149555,85,Home Equity Line of Credit Construction loan,15,1.5,600,670,1,Asia-Pacific,18392402,Europe,Underwriting,313,81.01,9718805
Brunei,9786983,80,Jumbo mortgage,11,3.5,614,376,2,Asia-Pacific,34138303,Europe,Underwriting,965,83.82,10283029
Denmark,9787508,82,Jumbo mortgage,10,3.5,548,306,3,Asia-Pacific,27403201,Asia-Pacific,Lead,217,86.23,10821873
San Marino,9595245,71,Adjustable-rate mortgage,30,2.5,609,689,3,Asia-Pacific,17604116,Asia-Pacific,Lead,354,86.51,11755160
SAR United States,9324701,78,Home Equity Line of Credit Construction loan,40,2,440,567,7,Americas,12108504,Americas,Funding,752,69.7,9739427
Switzerland,9329734,72,Home Equity Line of Credit Construction loan,31,2.5,624,783,4,Middle East and Africa,16449492,Asia-Pacific,Underwriting,861,65.37,11474380
Luxembourg,9720473,85,Home Equity Line of Credit Construction loan,5,1.5,434,483,3,Middle East and Africa,18216540,Americas,Underwriting,912,61.25,10260177
Iceland,9136222,79,Adjustable-rate mortgage,21,1,505,632,3,Middle East and Africa,12611782,Americas,Lead,362,87.11,10472067
Luxembourg,9601436,80,Home Equity Line of Credit Construction loan,10,3.5,461,719,10,Europe,11893627,Middle East and Africa,Lead,556,86.04,10504028
San Marino,9402989,88,Jumbo mortgage,21,2.5,590,829,7,Asia-Pacific,17908853,Middle East and Africa,Funding,752,86.44,9866310
Denmark,9240495,84,Jumbo mortgage,40,"",358,713,9,Middle East and Africa,14160379,Europe,Application,464,87.36,10903598
Norway,9465731,90,Adjustable-rate mortgage,6,4,540,354,5,Middle East and Africa,19384528,Americas,Underwriting,981,68.11,11358040
Norway,9710808,71,Adjustable-rate mortgage,21,3.5,336,743,5,Europe,10937395,Middle East and Africa,Lead,333,73.91,9779678
Singapore,9289986,72,Adjustable-rate mortgage,35,1.5,281,323,9,Middle East and Africa,26530582,Americas,Underwriting,890,72.06,9879394
United Arab Emirates,9918968,79,Fixed-rate mortgage,18,"",352,467,4,Americas,11680388,Europe,Application,587,68.74,11726054
"",9020090,85,Adjustable-rate mortgage,36,1,327,436,5,Europe,19921346,Asia-Pacific,Application,919,78.95,11332213
"",9791731,90,Home Equity Line of Credit Construction loan,28,1.5,639,795,10,Asia-Pacific,19336788,Middle East and Africa,Funding,352,63.49,10483227
Macao SAR,9302246,73,Adjustable-rate mortgage,37,2.5,630,843,10,Americas,16891807,Asia-Pacific,Underwriting,394,76.97,10818643
Denmark,9363774,84,Jumbo mortgage,26,1.5,517,446,3,Middle East and Africa,31767820,Middle East and Africa,Application,678,74.33,11402710
Austria,9411995,90,Home Equity Line of Credit Construction loan,11,0.5,368,304,1,Americas,19654361,Europe,Funding,139,69.47,11924574
Switzerland,9396729,73,Jumbo mortgage,27,1.5,439,330,8,Europe,13390698,Americas,Funding,578,73.23,11011880
Austria,9618375,82,Fixed-rate mortgage,13,4,332,459,1,Middle East and Africa,13987514,Asia-Pacific,Underwriting,458,73.14,10668309
Qatar,9692487,85,Adjustable-rate mortgage,32,0.5,493,395,8,Americas,17283791,Middle East and Africa,Funding,209,87.61,11814231
Hong Kong,9518105,83,Fixed-rate mortgage,13,2.5,562,505,8,Europe,34788506,Americas,Application,934,62.1,11199216
Qatar,9735049,83,Jumbo mortgage,18,4,550,419,2,Middle East and Africa,16729157,Americas,Application,503,78.52,11639787
United Arab Emirates,9305592,89,Home Equity Line of Credit Construction loan,33,2.5,528,608,6,Asia-Pacific,33948930,Middle East and Africa,Application,172,83.43,11307868
Qatar,9528752,87,Home Equity Line of Credit Construction loan,10,3.5,335,734,8,Middle East and Africa,14033538,Europe,Application,506,70.77,11675346
Darussalam,9679605,70,Fixed-rate mortgage,40,0.5,536,753,1,Middle East and Africa,31534548,Americas,Funding,177,69.19,10726342
San Marino,9632740,70,Adjustable-rate mortgage,14,2,367,555,4,Europe,25482822,Americas,Lead,643,81.43,9719887
Hong Kong,9898437,90,Jumbo mortgage,39,3,630,613,9,Asia-Pacific,22282498,Asia-Pacific,Lead,458,62.63,11876604
Brunei,9466630,74,Home Equity Line of Credit Construction loan,36,1,591,336,5,Middle East and Africa,27706494,Americas,Lead,701,85.98,11111130
San Marino,9422275,73,Home Equity Line of Credit Construction loan,12,2,492,701,6,Americas,14746431,Americas,Lead,969,89.62,10895545
Switzerland,9838115,76,Home Equity Line of Credit Construction loan,39,2,612,789,5,Europe,14439032,Americas,Lead,507,72.43,10422150
United Arab Emirates,9508071,79,Jumbo mortgage,13,"",421,728,5,Middle East and Africa,30449129,Middle East and Africa,Underwriting,145,87.82,11254920
Darussalam,9075095,79,Jumbo mortgage,29,"",493,352,2,Americas,27859652,Asia-Pacific,Lead,994,67.69,10654607
Iceland,9397248,73,Fixed-rate mortgage,10,2,474,725,8,Asia-Pacific,33951735,Americas,Funding,879,61.75,10765580
Sweden,9283448,90,Fixed-rate mortgage,11,4,459,601,6,Asia-Pacific,26376144,Asia-Pacific,Funding,838,71.2,10294911
Netherlands,9682874,76,Jumbo mortgage,13,1.5,555,624,1,Middle East and Africa,13222951,Europe,Application,547,74.31,11514758
Kuwait,9570761,86,Fixed-rate mortgage,30,4,622,478,2,Asia-Pacific,15825526,Asia-Pacific,Underwriting,715,84.49,10134895
Netherlands,9590635,81,Home Equity Line of Credit Construction loan,21,4,344,847,10,Europe,25563900,Middle East and Africa,Underwriting,669,62.88,9603866
Iceland,9252699,86,Jumbo mortgage,9,2.5,256,400,7,Europe,14507790,Europe,Underwriting,799,61.11,11411489
Macao SAR,9385178,70,Fixed-rate mortgage,29,0.5,611,568,3,Americas,19816658,Americas,Underwriting,893,74.8,10681008
Darussalam,9886637,83,Home Equity Line of Credit Construction loan,9,1.5,353,684,3,Americas,14359370,Americas,Funding,736,74.71,11174414
Switzerland,9728939,79,Home Equity Line of Credit Construction loan,30,2.5,366,607,2,Asia-Pacific,12667709,Asia-Pacific,Application,730,66.85,10285346
Switzerland,9760020,74,Jumbo mortgage,39,2.5,255,621,9,Middle East and Africa,19205847,Asia-Pacific,Application,554,72.12,10165205
Brunei,9424078,77,Adjustable-rate mortgage,6,3.5,342,688,10,Europe,23817610,Asia-Pacific,Underwriting,788,79.22,11684829
Austria,9098176,83,Home Equity Line of Credit Construction loan,38,0.5,624,597,5,Europe,27454397,Europe,Funding,313,64.69,10252281
United Arab Emirates,9976432,83,Adjustable-rate mortgage,20,3,402,690,1,Europe,21795410,Americas,Application,753,71.07,11261240
Norway,9224149,72,Fixed-rate mortgage,8,0.5,400,757,5,Middle East and Africa,34969060,Europe,Application,436,76.45,11878342
"",9938557,71,Jumbo mortgage,16,4,392,404,4,Middle East and Africa,11932158,Americas,Application,423,82.25,10781997
"",9897675,76,Fixed-rate mortgage,6,2,378,493,8,Middle East and Africa,27522036,Europe,Underwriting,967,87.71,10530640
Germany,9066283,74,Adjustable-rate mortgage,23,1.5,639,742,2,Americas,32636081,Europe,Application,456,80.19,11888157
Hong Kong,9514158,75,Fixed-rate mortgage,40,1,352,456,6,Asia-Pacific,32854721,Middle East and Africa,Underwriting,342,66.46,10029981
Macao SAR,9495342,72,Adjustable-rate mortgage,29,3,480,710,6,Americas,14292604,Europe,Lead,952,80.79,11098777
Netherlands,9216977,81,Fixed-rate mortgage,28,2,612,519,8,Americas,33442499,Americas,Funding,244,78.88,10070141
Brunei,9029753,79,Fixed-rate mortgage,12,2,378,678,3,Europe,28817316,Middle East and Africa,Underwriting,316,67.36,11727706
Iceland,9623743,80,Home Equity Line of Credit Construction loan,34,"",436,684,1,Asia-Pacific,10732083,Americas,Lead,956,81.19,11014929
Singapore,9348491,72,Home Equity Line of Credit Construction loan,36,3,264,809,5,Europe,18744387,Americas,Funding,462,88.3,10195101
Iceland,9946992,85,Adjustable-rate mortgage,24,0.5,299,607,2,Americas,15962542,Asia-Pacific,Application,546,88.21,10907407
Brunei,9819412,75,Jumbo mortgage,13,0.5,423,730,6,Americas,18581998,Asia-Pacific,Application,505,72.06,10276659
Switzerland,9647178,81,Fixed-rate mortgage,27,"",604,785,6,Americas,26442112,Middle East and Africa,Funding,712,65.48,11049700
United Arab Emirates,9251445,81,Fixed-rate mortgage,12,2.5,406,587,10,Europe,14187137,Asia-Pacific,Underwriting,390,66.11,9868995
Austria,9157929,84,Adjustable-rate mortgage,14,4,286,491,1,Americas,16010161,Asia-Pacific,Lead,430,69.77,11596777
Sweden,9995137,72,Fixed-rate mortgage,36,2.5,374,497,4,Middle East and Africa,24157934,Middle East and Africa,Application,469,67.56,11975290
Hong Kong,9545963,70,Jumbo mortgage,12,4,295,471,6,Americas,14298385,Asia-Pacific,Underwriting,641,75.32,9885795
Darussalam,9854342,75,Adjustable-rate mortgage,17,"",323,733,5,Europe,27494780,Asia-Pacific,Underwriting,816,77.75,9503801
Germany,9412515,82,Fixed-rate mortgage,26,3,530,445,6,Asia-Pacific,34537734,Europe,Funding,645,63.15,11893889
Denmark,9559976,86,Adjustable-rate mortgage,39,2.5,638,629,8,Middle East and Africa,10049755,Asia-Pacific,Funding,248,79.06,10574961
Austria,9600782,84,Home Equity Line of Credit Construction loan,22,"",307,615,9,Asia-Pacific,17252353,Americas,Funding,459,72.92,9983917
Denmark,9748756,88,Fixed-rate mortgage,24,3.5,268,555,4,Asia-Pacific,22997644,Americas,Funding,385,71.27,11318559
Kuwait,9085501,82,Fixed-rate mortgage,15,1,300,487,10,Asia-Pacific,22414205,Americas,Underwriting,685,89.11,11547197
Singapore,9220060,79,Fixed-rate mortgage,18,1,277,335,5,Asia-Pacific,25881685,Americas,Lead,582,79.97,9861664
Austria,9302609,83,Jumbo mortgage,40,3.5,608,709,7,Asia-Pacific,33947980,Middle East and Africa,Lead,107,77.37,9680280
Sweden,9076838,77,Adjustable-rate mortgage,9,1.5,403,512,10,Asia-Pacific,11296215,Americas,Underwriting,519,79.16,11891624
Norway,9271397,73,Jumbo mortgage,23,4,288,687,4,Middle East and Africa,27144186,Americas,Lead,272,68.37,11223193
Norway,9920919,78,Adjustable-rate mortgage,34,4,554,535,5,Americas,10708760,Americas,Application,770,78.38,9809953
United Arab Emirates,9135700,79,Adjustable-rate mortgage,12,2.5,587,565,8,Asia-Pacific,34336478,Europe,Underwriting,454,68.43,10995819
Iceland,9699308,87,Fixed-rate mortgage,20,3,346,844,7,Asia-Pacific,32071917,Americas,Underwriting,750,69.58,11418985
Denmark,9876843,90,Home Equity Line of Credit Construction loan,24,2,442,555,3,Americas,16761726,Middle East and Africa,Funding,543,82.18,9693976
Brunei,9446597,82,Home Equity Line of Credit Construction loan,7,0.5,541,491,8,Americas,19373735,Asia-Pacific,Lead,270,87.18,11414874
Luxembourg,9826194,84,Fixed-rate mortgage,16,"",610,304,6,Middle East and Africa,16847237,Americas,Funding,439,76.03,11954679
"",9106573,83,Fixed-rate mortgage,37,2.5,390,524,1,Europe,24827922,Middle East and Africa,Funding,453,68.58,10864946
"",9293484,87,Home Equity Line of Credit Construction loan,14,2.5,563,423,7,Asia-Pacific,32820334,Europe,Funding,484,83.5,11755222
Qatar,9977906,90,Jumbo mortgage,8,"",287,304,9,Europe,20901195,Americas,Funding,570,78.05,10596299
Sweden,9099960,77,Jumbo mortgage,30,3,365,835,3,Middle East and Africa,30719309,Middle East and Africa,Application,995,76.54,10420203
Luxembourg,9518842,74,Jumbo mortgage,39,1.5,273,335,6,Europe,26453111,Middle East and Africa,Lead,672,61.39,10200535
Darussalam,9970378,78,Jumbo mortgage,26,3,585,823,5,Middle East and Africa,16546190,Americas,Funding,478,82.84,10317352
Ireland,9354061,75,Fixed-rate mortgage,5,2.5,455,653,8,Europe,23611252,Asia-Pacific,Funding,341,82.96,9618372
Iceland,9665315,88,Jumbo mortgage,17,0.5,405,530,9,Asia-Pacific,15356904,Asia-Pacific,Lead,477,66.59,10663640
Iceland,9996681,71,Home Equity Line of Credit Construction loan,11,1.5,418,538,5,Asia-Pacific,32959007,Asia-Pacific,Application,772,71.52,11104415
Singapore,9849313,87,Home Equity Line of Credit Construction loan,21,2.5,646,429,1,Americas,11080654,Europe,Application,634,71.79,10592642
Germany,9312131,84,Jumbo mortgage,20,3.5,296,662,5,Asia-Pacific,32733820,Middle East and Africa,Funding,748,76.26,9931119
Singapore,9170814,76,Home Equity Line of Credit Construction loan,15,2,633,658,3,Asia-Pacific,33015525,Asia-Pacific,Application,949,83.45,10971587
Brunei,9859530,86,Jumbo mortgage,8,4,608,732,9,Asia-Pacific,30274007,Middle East and Africa,Underwriting,444,63.34,11379664
United Arab Emirates,9008207,85,Home Equity Line of Credit Construction loan,40,4,350,402,6,Middle East and Africa,11968025,Asia-Pacific,Underwriting,795,79.97,11911203
San Marino,9147444,85,Jumbo mortgage,11,3.5,368,577,7,Europe,31022071,Asia-Pacific,Lead,297,85.81,11843611
Germany,9483236,89,Jumbo mortgage,19,3,525,327,6,Middle East and Africa,18075191,Americas,Funding,307,74.14,10235645
SAR United States,9500733,80,Home Equity Line of Credit Construction loan,6,3,445,810,3,Europe,10480320,Middle East and Africa,Lead,706,67.07,10299077
Austria,9489594,83,Fixed-rate mortgage,11,2.5,643,367,5,Americas,15094890,Europe,Lead,325,75.23,10414650
Singapore,9553649,87,Home Equity Line of Credit Construction loan,40,2.5,295,779,3,Middle East and Africa,32379702,Asia-Pacific,Underwriting,932,89.62,10221344
Australia,9432803,70,Fixed-rate mortgage,6,1,471,725,8,Middle East and Africa,27018887,Middle East and Africa,Funding,974,83.38,11446850
Darussalam,9159668,86,Jumbo mortgage,12,3.5,296,834,7,Middle East and Africa,12784608,Americas,Underwriting,135,67.34,11107560
United Arab Emirates,9408294,87,Home Equity Line of Credit Construction loan,38,2.5,278,437,8,Americas,33999905,Middle East and Africa,Application,504,60.73,10563601
Macao SAR,9212754,82,Home Equity Line of Credit Construction loan,15,4,357,668,2,Americas,15392934,Middle East and Africa,Lead,921,61.84,10092768
Norway,9892678,90,Jumbo mortgage,15,2,284,718,2,Americas,18468504,Europe,Funding,313,62.23,11094139
Brunei,9274514,83,Adjustable-rate mortgage,26,4,395,690,5,Asia-Pacific,21792726,Middle East and Africa,Underwriting,736,83.63,11041088
Darussalam,9710641,90,Fixed-rate mortgage,36,3,626,381,10,Europe,23487524,Middle East and Africa,Application,727,75.41,11920050
Darussalam,9121521,82,Fixed-rate mortgage,37,2,377,818,5,Asia-Pacific,13056539,Europe,Application,582,80.45,10671480
Ireland,9630169,74,Adjustable-rate mortgage,13,1,586,491,2,Middle East and Africa,30752063,Middle East and Africa,Underwriting,999,73.03,9694886
Australia,9941330,86,Jumbo mortgage,21,"",457,454,1,Europe,31966141,Americas,Underwriting,182,64.23,10884025
Norway,9222467,73,Fixed-rate mortgage,20,1,543,363,1,Europe,19954399,Europe,Underwriting,103,89.61,10942689
Ireland,9039439,72,Fixed-rate mortgage,11,1.5,297,349,10,Europe,19049558,Americas,Application,581,89.91,10909248
Hong Kong,9734758,76,Jumbo mortgage,13,"",354,617,8,Middle East and Africa,34354338,Middle East and Africa,Application,714,66.47,10632865
Qatar,9293649,81,Jumbo mortgage,6,1.5,264,619,8,Americas,22777561,Asia-Pacific,Underwriting,556,61.58,10930480
United Arab Emirates,9375783,78,Adjustable-rate mortgage,23,2,533,700,3,Asia-Pacific,26142472,Asia-Pacific,Underwriting,305,64.86,11414474
Sweden,9838281,82,Adjustable-rate mortgage,22,"",253,666,9,Europe,30341074,Europe,Underwriting,996,89.8,11821021
Sweden,9950943,81,Adjustable-rate mortgage,28,3.5,392,502,5,Americas,21250345,Americas,Funding,391,65.53,11974563
United Arab Emirates,9098933,73,Jumbo mortgage,23,4,371,812,3,Asia-Pacific,31618197,Asia-Pacific,Lead,369,84.79,11499398
Denmark,9581661,83,Fixed-rate mortgage,23,3,449,537,8,Americas,28897014,Middle East and Africa,Funding,877,62.67,10818257
Sweden,9118557,73,Fixed-rate mortgage,37,1.5,387,662,7,Europe,11854111,Europe,Funding,663,68.86,11888979
Norway,9999254,80,Fixed-rate mortgage,39,1.5,603,658,7,Europe,17442859,Asia-Pacific,Underwriting,458,70.88,11283439
Qatar,9869639,90,Fixed-rate mortgage,7,4,537,403,4,Europe,21316452,Middle East and Africa,Application,956,64.78,11774527
Singapore,9338979,90,Fixed-rate mortgage,9,0.5,363,705,2,Americas,22033525,Europe,Underwriting,607,89.07,9731944
Denmark,9572268,83,Adjustable-rate mortgage,19,4,546,718,9,Middle East and Africa,13438252,Europe,Lead,973,70.07,11416175
Sweden,9242644,81,Adjustable-rate mortgage,18,0.5,485,628,1,Americas,13277877,Americas,Underwriting,497,80.39,11163560
San Marino,9205771,79,Adjustable-rate mortgage,27,"",610,697,6,Middle East and Africa,16631937,Americas,Underwriting,165,73.3,9588375
Sweden,9440441,74,Home Equity Line of Credit Construction loan,32,3.5,438,476,1,Americas,19969814,Middle East and Africa,Lead,456,87.75,9718265
Switzerland,9393833,72,Jumbo mortgage,21,1,643,816,10,Americas,26539008,Middle East and Africa,Underwriting,262,88.48,10733639
Iceland,9886076,82,Adjustable-rate mortgage,18,3.5,308,727,10,Europe,19188340,Asia-Pacific,Underwriting,958,76.5,11700601
Darussalam,9243864,75,Adjustable-rate mortgage,29,"",403,543,10,Middle East and Africa,16279882,Asia-Pacific,Lead,841,87.54,9946914
Luxembourg,9540118,87,Home Equity Line of Credit Construction loan,13,0.5,358,619,10,Asia-Pacific,25951763,Europe,Application,347,79.24,9732459
Kuwait,9735940,74,Jumbo mortgage,13,2.5,472,616,1,Americas,27222078,Middle East and Africa,Funding,538,67.16,10466076
Norway,9302649,72,Jumbo mortgage,12,2,505,792,9,Americas,11863371,Americas,Funding,263,81.5,11164060
Austria,9652413,83,Jumbo mortgage,21,1.5,515,342,3,Americas,16426686,Europe,Underwriting,884,63.64,11713443
Luxembourg,9253365,71,Home Equity Line of Credit Construction loan,30,2.5,625,620,1,Americas,21260595,Asia-Pacific,Underwriting,456,78.25,11953251
Ireland,9041627,85,Adjustable-rate mortgage,6,4,511,643,10,Asia-Pacific,13186149,Middle East and Africa,Lead,992,81.19,10830036
United Arab Emirates,9823128,74,Jumbo mortgage,33,2.5,481,607,7,Asia-Pacific,31302913,Europe,Funding,251,85.58,10369488
Ireland,9525332,71,Adjustable-rate mortgage,14,3.5,524,441,10,Europe,34416074,Asia-Pacific,Underwriting,646,81.44,10645695
Kuwait,9528197,79,Jumbo mortgage,29,1.5,258,596,10,Asia-Pacific,12091408,Europe,Funding,600,89.32,9603352
Iceland,9977297,87,Home Equity Line of Credit Construction loan,18,2.5,413,328,2,Middle East and Africa,15869547,Middle East and Africa,Application,844,76.66,10454292
Darussalam,9870446,79,Adjustable-rate mortgage,31,3.5,641,650,5,Europe,22977681,Europe,Lead,430,62.08,10531631
Netherlands,9635134,86,Adjustable-rate mortgage,27,0.5,394,737,10,Asia-Pacific,20498441,Europe,Funding,339,70.71,11678813
Hong Kong,9611575,89,Fixed-rate mortgage,33,2,476,454,5,Americas,24911351,Europe,Lead,822,70.36,10859220
Iceland,9220548,72,Home Equity Line of Credit Construction loan,34,3,361,693,1,Asia-Pacific,22608172,Middle East and Africa,Application,661,88.99,11123388
Australia,9569842,87,Jumbo mortgage,30,2.5,607,539,3,Americas,16171334,Americas,Application,431,84.23,10499855
Hong Kong,9339725,83,Adjustable-rate mortgage,20,3,591,419,7,Middle East and Africa,14887053,Europe,Application,669,62.32,10020086
United Arab Emirates,9361958,81,Jumbo mortgage,14,3,439,638,4,Asia-Pacific,15954888,Middle East and Africa,Lead,688,88.29,11924956
Ireland,9702831,87,Fixed-rate mortgage,8,3,308,527,5,Europe,34029013,Asia-Pacific,Lead,883,82.78,10897448
Ireland,9785740,78,Home Equity Line of Credit Construction loan,6,2,585,806,7,Middle East and Africa,13772508,Europe,Application,257,83.28,10003043
SAR United States,9157750,89,Jumbo mortgage,19,3,433,722,5,Asia-Pacific,31857452,Middle East and Africa,Application,672,80.11,9873313
Macao SAR,9531482,78,Adjustable-rate mortgage,36,"",263,503,10,Europe,22817979,Asia-Pacific,Underwriting,306,67.48,10710224
Germany,9109162,76,Jumbo mortgage,37,"",336,419,10,Americas,25711361,Asia-Pacific,Underwriting,866,71.35,10627454
"",9094880,79,Home Equity Line of Credit Construction loan,27,3,587,704,1,Europe,19024391,Americas,Funding,117,64.8,11277244
Macao SAR,9124754,70,Home Equity Line of Credit Construction loan,5,1.5,267,382,6,Middle East and Africa,26232603,Americas,Underwriting,918,71.05,10894489
Norway,9422758,90,Adjustable-rate mortgage,33,"",596,399,4,Europe,26293911,Middle East and Africa,Funding,665,80.87,11333871
Macao SAR,9151835,80,Fixed-rate mortgage,35,3,305,464,9,Asia-Pacific,32467129,Asia-Pacific,Funding,497,65.38,9797495
Kuwait,9118066,82,Fixed-rate mortgage,27,0.5,275,439,1,Europe,13671617,Americas,Underwriting,728,84.6,11943196
Luxembourg,9801058,82,Home Equity Line of Credit Construction loan,40,0.5,434,682,9,Asia-Pacific,28178788,Europe,Application,324,84.3,9959929
Ireland,9941457,81,Fixed-rate mortgage,6,3.5,539,755,10,Europe,12319223,Europe,Funding,728,62.73,11741740
Kuwait,9707252,71,Fixed-rate mortgage,22,0.5,518,467,10,Asia-Pacific,20019826,Asia-Pacific,Lead,772,80.33,11513447
Germany,9640572,84,Jumbo mortgage,33,"",508,843,3,Asia-Pacific,13867304,Middle East and Africa,Underwriting,631,79.01,11085317
Australia,9188829,82,Fixed-rate mortgage,34,1.5,419,457,7,Asia-Pacific,28366233,Americas,Application,776,84.25,9638167
Ireland,9157893,87,Jumbo mortgage,6,3.5,486,754,4,Middle East and Africa,28225697,Asia-Pacific,Lead,710,81.68,10292853
Switzerland,9305545,85,Jumbo mortgage,26,1.5,282,416,3,Americas,31303724,Asia-Pacific,Lead,470,68.46,10678683
Kuwait,9275147,73,Fixed-rate mortgage,28,4,441,423,1,Asia-Pacific,31986409,Europe,Application,843,81.35,9514653
